Overall score	Negative	Neutral	Positive
-0.7717	0.235	0.657	0.108
-0.6973	0.248	0.673	0.079
0.2805	0.039	0.884	0.076
0.0	0.0	1.0	0.0
-0.4779	0.136	0.81	0.055
0.3182	0.139	0.594	0.267
-0.6369	0.158	0.842	0.0
0.0	0.0	1.0	0.0
-0.5267	0.15	0.85	0.0
-0.3818	0.216	0.614	0.17
0.3818	0.0	0.833	0.167
0.7579	0.0	0.691	0.309
0.296	0.0	0.804	0.196
-0.7003	0.221	0.779	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.4031	0.095	0.754	0.151
0.0	0.0	1.0	0.0
0.0108	0.134	0.768	0.099
-0.5423	0.333	0.667	0.0
-0.836	0.31	0.69	0.0
-0.3818	0.184	0.816	0.0
-0.5423	0.333	0.667	0.0
0.0	0.0	1.0	0.0
-0.5719	0.199	0.717	0.084
-0.25	0.216	0.64	0.145
0.296	0.0	0.761	0.239
-0.5423	0.333	0.667	0.0
-0.1027	0.149	0.851	0.0
-0.4404	0.139	0.861	0.0
0.4404	0.044	0.852	0.104
-0.2023	0.073	0.927	0.0
-0.5719	0.222	0.663	0.115
0.1779	0.0	0.841	0.159
0.0	0.0	1.0	0.0
0.743	0.0	0.636	0.364
0.3818	0.0	0.86	0.14
0.0	0.0	1.0	0.0
0.7269	0.044	0.762	0.194
0.4253	0.111	0.634	0.255
0.4019	0.055	0.796	0.149
-0.1531	0.242	0.758	0.0
-0.4588	0.4	0.6	0.0
0.3089	0.0	0.78	0.22
0.25	0.0	0.8	0.2
-0.8736	0.38	0.581	0.039
0.0	0.0	1.0	0.0
-0.4215	0.274	0.548	0.178
-0.6486	0.207	0.793	0.0
-0.875	0.355	0.645	0.0
-0.1027	0.085	0.915	0.0
0.25	0.0	0.931	0.069
0.7579	0.0	0.691	0.309
-0.34	0.274	0.726	0.0
-0.4019	0.252	0.748	0.0
-0.2006	0.13	0.87	0.0
-0.25	0.109	0.826	0.065
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
