Overall score	Negative	Neutral	Positive
-0.6408	0.259	0.741	0.0
0.1759	0.129	0.715	0.155
0.4019	0.0	0.69	0.31
-0.9191	0.318	0.682	0.0
-0.7506	0.561	0.439	0.0
-0.3818	0.271	0.729	0.0
-0.875	0.343	0.599	0.058
0.0	0.0	1.0	0.0
-0.3034	0.169	0.831	0.0
-0.2808	0.092	0.908	0.0
0.7034	0.0	0.713	0.287
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.1027	0.219	0.781	0.0
-0.4466	0.196	0.804	0.0
-0.5766	0.318	0.682	0.0
-0.4466	0.164	0.836	0.0
-0.4215	0.128	0.872	0.0
0.6597	0.0	0.357	0.643
0.5106	0.0	0.645	0.355
0.0	0.0	1.0	0.0
0.296	0.0	0.82	0.18
-0.4215	0.487	0.513	0.0
0.7125	0.0	0.739	0.261
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.913	0.273	0.727	0.0
0.4767	0.0	0.693	0.307
-0.296	0.145	0.855	0.0
0.0	0.0	1.0	0.0
-0.3818	0.245	0.755	0.0
-0.6249	0.204	0.796	0.0
-0.7481	0.313	0.687	0.0
0.0	0.0	1.0	0.0
-0.8056	0.46	0.419	0.121
0.0	0.0	1.0	0.0
-0.296	0.155	0.845	0.0
-0.7779	0.382	0.618	0.0
-0.296	0.155	0.845	0.0
-0.3885	0.149	0.851	0.0
0.0	0.0	1.0	0.0
-0.8613	0.55	0.45	0.0
-0.0258	0.246	0.526	0.228
0.0	0.0	1.0	0.0
0.3818	0.0	0.833	0.167
-0.7324	0.339	0.477	0.184
-0.4466	0.211	0.789	0.0
-0.296	0.239	0.761	0.0
0.5859	0.0	0.568	0.432
-0.1027	0.072	0.928	0.0
-0.4767	0.383	0.617	0.0
-0.2103	0.159	0.72	0.121
0.6669	0.0	0.687	0.313
0.0	0.0	1.0	0.0
-0.2263	0.073	0.927	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.34	0.241	0.37	0.389
-0.34	0.167	0.833	0.0
0.3612	0.0	0.762	0.238
0.3182	0.0	0.796	0.204
-0.7297	0.338	0.662	0.0
0.5574	0.0	0.735	0.265
0.0	0.0	1.0	0.0
0.8555	0.0	0.488	0.512
0.0	0.0	1.0	0.0
0.4019	0.0	0.803	0.197
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.6249	0.0	0.687	0.313
-0.6523	0.239	0.761	0.0
-0.4215	0.167	0.833	0.0
-0.5106	0.452	0.548	0.0
-0.743	0.36	0.64	0.0
-0.2023	0.167	0.714	0.119
0.0	0.0	1.0	0.0
-0.2716	0.13	0.87	0.0
-0.34	0.179	0.821	0.0
0.4404	0.0	0.828	0.172
0.0	0.0	1.0	0.0
0.5574	0.0	0.723	0.277
0.0	0.0	1.0	0.0
-0.8624	0.449	0.551	0.0
0.0	0.0	1.0	0.0
-0.6447	0.369	0.631	0.0
-0.765	0.569	0.431	0.0
0.516	0.0	0.717	0.283
-0.4466	0.196	0.804	0.0
-0.34	0.324	0.676	0.0
-0.4404	0.086	0.914	0.0
-0.8374	0.498	0.502	0.0
0.0	0.0	1.0	0.0
0.347	0.0	0.875	0.125
-0.2732	0.296	0.704	0.0
0.347	0.0	0.875	0.125
-0.6289	0.341	0.659	0.0
0.0	0.0	1.0	0.0
-0.3818	0.142	0.776	0.083
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.87	0.0	0.647	0.353
-0.5904	0.258	0.742	0.0
0.5859	0.0	0.888	0.112
0.0	0.0	1.0	0.0
0.5859	0.0	0.625	0.375
-0.2808	0.162	0.838	0.0
-0.296	0.239	0.761	0.0
0.0	0.168	0.664	0.168
0.874	0.0	0.501	0.499
-0.5719	0.27	0.73	0.0
0.25	0.0	0.8	0.2
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.7034	0.31	0.69	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.296	0.355	0.645	0.0
0.0	0.0	1.0	0.0
-0.0516	0.545	0.455	0.0
0.0	0.0	1.0	0.0
-0.6908	0.416	0.584	0.0
0.3182	0.0	0.777	0.223
-0.6249	0.227	0.773	0.0
-0.7378	0.286	0.657	0.057
-0.296	0.355	0.645	0.0
0.0	0.0	1.0	0.0
0.0085	0.11	0.779	0.111
0.0	0.0	1.0	0.0
0.3182	0.126	0.662	0.212
0.0	0.0	1.0	0.0
-0.3818	0.12	0.88	0.0
-0.296	0.21	0.645	0.145
-0.6523	0.412	0.433	0.155
0.3818	0.0	0.885	0.115
0.6594	0.0	0.735	0.265
0.0	0.0	1.0	0.0
0.1613	0.26	0.506	0.234
-0.5766	0.264	0.736	0.0
-0.3612	0.333	0.667	0.0
-0.8331	0.595	0.405	0.0
0.0	0.0	1.0	0.0
-0.4404	0.266	0.734	0.0
0.3612	0.0	0.615	0.385
0.1779	0.168	0.628	0.204
0.25	0.0	0.75	0.25
0.0	0.0	1.0	0.0
-0.5859	0.545	0.455	0.0
0.1027	0.145	0.692	0.163
0.8613	0.0	0.603	0.397
0.3182	0.0	0.685	0.315
0.0	0.0	1.0	0.0
-0.5766	0.318	0.682	0.0
-0.9393	0.757	0.243	0.0
0.6633	0.0	0.854	0.146
-0.7241	0.378	0.622	0.0
-0.7783	0.245	0.755	0.0
0.0	0.0	1.0	0.0
-0.1779	0.281	0.496	0.223
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.7925	0.334	0.666	0.0
-0.6124	0.4	0.6	0.0
0.296	0.0	0.645	0.355
-0.7351	0.554	0.446	0.0
0.0	0.0	1.0	0.0
0.0772	0.126	0.732	0.143
-0.3412	0.325	0.675	0.0
-0.3818	0.265	0.735	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.3885	0.149	0.851	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.128	0.291	0.443	0.266
0.0	0.0	1.0	0.0
0.3818	0.0	0.536	0.464
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.3252	0.121	0.879	0.0
0.4404	0.0	0.508	0.492
0.0	0.0	1.0	0.0
-0.8833	0.484	0.516	0.0
-0.296	0.268	0.732	0.0
-0.7154	0.317	0.683	0.0
-0.6808	0.697	0.303	0.0
-0.34	0.13	0.87	0.0
0.3182	0.0	0.753	0.247
-0.4215	0.318	0.682	0.0
-0.4404	0.293	0.707	0.0
0.0	0.0	1.0	0.0
0.5904	0.0	0.772	0.228
0.0	0.0	1.0	0.0
-0.0772	0.206	0.794	0.0
0.1779	0.168	0.628	0.204
0.6874	0.0	0.585	0.415
0.0	0.0	1.0	0.0
-0.4278	0.15	0.85	0.0
-0.128	0.214	0.611	0.176
0.0	0.0	1.0	0.0
0.5319	0.0	0.778	0.222
0.7034	0.121	0.582	0.297
0.2996	0.193	0.533	0.274
-0.5859	0.792	0.208	0.0
0.34	0.0	0.625	0.375
0.0	0.0	1.0	0.0
-0.4939	0.113	0.887	0.0
-0.0857	0.153	0.718	0.129
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.296	0.082	0.765	0.153
-0.7925	0.334	0.666	0.0
0.0	0.0	1.0	0.0
-0.5994	0.438	0.562	0.0
